Elevator, Roll, Yaw, Throttle, Flaps
-0.027451, 0.615686, 0.121569, 1.000000, 0.000000
-0.027451, 0.615686, 0.121569, 1.000000, 0.000000
-0.027451, 0.615686, 0.121569, 1.000000, 0.000000
-0.025160, 0.615686, 0.121569, 1.000000, 0.000000
-0.018032, 0.615686, 0.121569, 1.000000, 0.000000
-0.008946, 0.558105, 0.110294, 1.000000, 0.000000
0.016080, 0.046859, 0.010190, 1.000000, 0.000000
0.041168, -0.465645, -0.090160, 1.000000, 0.000000
0.072984, -0.714807, -0.141151, 1.000000, 0.000000
0.105265, -0.940778, -0.187779, 1.000000, 0.000000
0.113726, -1.000000, -0.200000, 1.000000, 0.000000
0.113726, -1.000000, -0.200000, 1.000000, 0.000000
0.113726, -1.000000, -0.200000, 1.000000, 0.000000
0.113726, -1.000000, -0.200000, 1.000000, 0.000000
0.111637, -1.000000, -0.200000, 1.000000, 0.000000
0.107753, -1.000000, -0.200000, 1.000000, 0.000000
0.090097, -0.804658, -0.160537, 1.000000, 0.000000
0.059241, -0.422819, -0.083398, 1.000000, 0.000000
0.033948, -0.164720, -0.032111, 1.000000, 0.000000
0.015275, -0.045211, -0.009702, 1.000000, 0.000000
0.003922, 0.032740, 0.005244, 1.000000, 0.000000
0.003922, 0.046948, 0.008796, 1.000000, 0.000000
0.003922, 0.061786, 0.012259, 1.000000, 0.000000
0.003922, 0.083051, 0.015803, 1.000000, 0.000000
0.003922, 0.104358, 0.019354, 1.000000, 0.000000
0.003922, 0.125915, 0.022947, 1.000000, 0.000000
0.003922, 0.148159, 0.026654, 1.000000, 0.000000
0.003922, 0.158683, 0.030322, 1.000000, 0.000000
0.003922, 0.166116, 0.034039, 1.000000, 0.000000
0.003922, 0.283275, 0.057725, 1.000000, 0.000000
0.003922, 0.457834, 0.091878, 1.000000, 0.000000
0.003922, 0.546335, 0.110113, 1.000000, 0.000000
0.003922, 0.574907, 0.117256, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.003922, 0.592157, 0.121569, 1.000000, 0.000000
0.004623, 0.578134, 0.118764, 1.000000, 0.000000
0.011669, 0.437213, 0.090580, 1.000000, 0.000000
0.019799, 0.276776, 0.058441, 1.000000, 0.000000
0.030902, 0.180551, 0.036236, 1.000000, 0.000000
0.041750, 0.086531, 0.014539, 1.000000, 0.000000
0.046236, 0.055917, 0.008666, 1.000000, 0.000000
0.049697, 0.035152, 0.005205, 1.000000, 0.000000
0.050980, 0.007684, -0.000032, 1.000000, 0.000000
0.050980, -0.031292, -0.007827, 1.000000, 0.000000
0.047747, -0.076850, -0.016615, 1.000000, 0.000000
0.040527, -0.134607, -0.027445, 1.000000, 0.000000
0.035294, -0.176471, -0.035294, 1.000000, 0.000000
0.035294, -0.176471, -0.035294, 1.000000, 0.000000
0.035294, -0.176471, -0.035294, 1.000000, 0.000000
0.030835, -0.156406, -0.030835, 1.000000, 0.000000
0.023403, -0.122963, -0.023403, 1.000000, 0.000000
0.019608, -0.087175, -0.015866, 1.000000, 0.000000
0.019608, -0.048247, -0.008081, 1.000000, 0.000000
0.019608, -0.025737, -0.003922, 1.000000, 0.000000
0.019608, -0.022039, -0.003922, 1.000000, 0.000000
0.019608, -0.006105, -0.001466, 1.000000, 0.000000
0.019608, 0.033829, 0.005794, 1.000000, 0.000000
0.019608, 0.075119, 0.013715, 1.000000, 0.000000
0.019608, 0.116461, 0.023256, 1.000000, 0.000000
0.019608, 0.153501, 0.031803, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.019608, 0.168628, 0.035294, 1.000000, 0.000000
0.016330, 0.198129, 0.041850, 1.000000, 0.000000
0.013181, 0.226473, 0.048149, 1.000000, 0.000000
0.011765, 0.269528, 0.056492, 1.000000, 0.000000
0.011765, 0.308989, 0.063667, 1.000000, 0.000000
0.011765, 0.330794, 0.066667, 1.000000, 0.000000
0.011765, 0.340486, 0.066667, 1.000000, 0.000000
0.011765, 0.350149, 0.067232, 1.000000, 0.000000
0.011765, 0.357444, 0.070879, 1.000000, 0.000000
0.011765, 0.365362, 0.074611, 1.000000, 0.000000
0.011765, 0.406242, 0.080900, 1.000000, 0.000000
0.011765, 0.442962, 0.086549, 1.000000, 0.000000
0.011765, 0.469278, 0.091502, 1.000000, 0.000000
0.011765, 0.476131, 0.094928, 1.000000, 0.000000
0.011765, 0.482353, 0.098039, 1.000000, 0.000000
0.011765, 0.482353, 0.098039, 1.000000, 0.000000
0.011765, 0.482353, 0.098039, 1.000000, 0.000000
0.011765, 0.482353, 0.098039, 1.000000, 0.000000
0.011765, 0.482353, 0.098039, 1.000000, 0.000000
0.011765, 0.482353, 0.098039, 1.000000, 0.000000
0.011765, 0.482353, 0.098039, 1.000000, 0.000000
0.011765, 0.460970, 0.093927, 1.000000, 0.000000
0.011765, 0.377419, 0.077860, 1.000000, 0.000000
0.011765, 0.290506, 0.061146, 1.000000, 0.000000
0.017800, 0.030978, 0.007522, 1.000000, 0.000000
0.024597, -0.247670, -0.050246, 1.000000, 0.000000
0.027451, -0.376429, -0.075975, 1.000000, 0.000000
0.027451, -0.398298, -0.078709, 1.000000, 0.000000
0.027451, -0.421658, -0.081629, 1.000000, 0.000000
0.027451, -0.427451, -0.082353, 1.000000, 0.000000
0.027451, -0.427451, -0.082353, 1.000000, 0.000000
0.027451, -0.427451, -0.082353, 1.000000, 0.000000
0.027451, -0.427451, -0.082353, 1.000000, 0.000000
0.034393, -0.253911, -0.047645, 1.000000, 0.000000
0.048982, 0.110811, 0.025300, 1.000000, 0.000000
0.059845, 0.368099, 0.076553, 1.000000, 0.000000
0.063351, 0.406663, 0.083564, 1.000000, 0.000000
0.066667, 0.443677, 0.090196, 1.000000, 0.000000
0.066667, 0.454719, 0.090196, 1.000000, 0.000000
0.066667, 0.465692, 0.090196, 1.000000, 0.000000
0.066667, 0.469954, 0.093483, 1.000000, 0.000000
0.066667, 0.473556, 0.097085, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
0.066667, 0.474510, 0.098039, 1.000000, 0.000000
