Wind Experiments,Starting Altitude (AGL),Wind Layer Altitude,Wind Direction,Wind Speed,Direction Offset(Setup Only),Main Heading
1,2000,0,139,5,-40,179
2,2000,0,149,5,-30,
3,2000,0,159,5,-20,
4,2000,0,169,5,-10,
5,2000,0,179,5,0,
6,2000,0,189,5,10,
7,2000,0,199,5,20,
8,2000,0,209,5,30,
9,2000,0,219,5,40,
10,2000,0,139,10,-40,
11,2000,0,149,10,-30,
12,2000,0,159,10,-20,
13,2000,0,169,10,-10,
14,2000,0,179,10,0,
15,2000,0,189,10,10,
16,2000,0,199,10,20,
17,2000,0,209,10,30,
18,2000,0,219,10,40,
19,2000,0,139,15,-40,
20,2000,0,149,15,-30,
21,2000,0,159,15,-20,
22,2000,0,169,15,-10,
23,2000,0,179,15,0,
24,2000,0,189,15,10,
25,2000,0,199,15,20,
26,2000,0,209,15,30,
27,2000,0,219,15,40,